qstamp,measure,beat,measure_fraction,label,part,part_num,instrument
0.0,1,1.6667,0.0,a,S. I,11,S
2.5,3,1.3333,0.3333,a,Fl. trv. I,4,Fl
4.0,4,1.3333,0.3333,a,Ob. I,6,Ob
5.5,5,1.3333,0.3333,a,Vln. I,8,Vln
7.0,6,1.3333,0.3333,a,Tr. I,0,Tpt
9.0,7,1.6667,0.6667,a,S. I,11,S
15.0,11,1.6667,0.6667,a,S. I,11,S
16.5,12,1.6667,0.6667,a,S. II,15,S
18.0,13,1.6667,0.6667,a,Tr. I,0,Tpt
21.0,15,1.6667,0.6667,a,A. I,12,A
24.0,17,1.6667,0.6667,a,S. I,11,S
27.0,19,1.6667,0.6667,a,B. I,14,B
30.0,21,1.6667,0.6667,a,T. I,13,T
34.5,24,1.6667,0.6667,a,Fl. trv. I,4,Fl
39.0,27,1.6667,0.6667,a,Tr. I,0,Tpt
41.75,29,1.5,0.5,a,Fl. trv. I,4,Fl
45.0,31,1.6667,0.6667,a,S. II,15,S
47.75,33,1.5,0.5,a,Fl. trv. I,4,Fl
51.0,35,1.6667,0.6667,a,S. II,15,S
54.0,37,1.6667,0.6667,a,Fl. trv. I,4,Fl
57.0,39,1.6667,0.6667,a,T. II,17,T
60.0,41,1.6667,0.6667,a,A. II,16,A
63.0,43,1.6667,0.6667,a,B. II,18,B
66.0,45,1.6667,0.6667,a,S. II,15,S
70.5,48,1.6667,0.6667,a,Fl. trv. I,4,Fl
75.0,51,1.6667,0.6667,a,Tr. I,0,Tpt
77.75,53,1.5,0.5,a,Fl. trv. I,4,Fl
81.0,55,1.6667,0.6667,a,S. I,11,S
83.75,57,1.5,0.5,a,Fl. trv. I,4,Fl
87.0,59,1.6667,0.6667,a,Tr. I,0,Tpt
89.75,61,1.5,0.5,a,Fl. trv. I,4,Fl
93.0,63,1.6667,0.6667,a,B. I,14,B
96.0,65,1.6667,0.6667,a,T. I,13,T
99.0,67,1.6667,0.6667,a,A. I,12,A
102.0,69,1.6667,0.6667,a,S. I,11,S
105.0,71,1.6667,0.6667,a,S. II,15,S
108.0,73,1.6667,0.6667,a,A. II,16,A
111.0,75,1.6667,0.6667,a,T. II,17,T
114.0,77,1.6667,0.6667,a,B. II,18,B
117.0,79,1.6667,0.6667,a,Fl. trv. I,4,Fl
120.0,81,1.6667,0.6667,a,Tr. I,0,Tpt
123.0,83,1.6667,0.6667,a,S. II,15,S
126.0,85,1.6667,0.6667,a,S. I,11,S
127.5,86,1.6667,0.6667,a,S. II,15,S
129.0,87,1.6667,0.6667,a,S. I,11,S
130.0,88,1.3333,0.3333,a,Fl. trv. I,4,Fl
133.5,90,1.6667,0.6667,a,S. I,11,S
135.0,91,1.6667,0.6667,a,S. II,15,S
138.0,93,1.6667,0.6667,a,S. I,11,S
141.0,95,1.6667,0.6667,a,A. I,12,A
144.0,97,1.6667,0.6667,a,S. I,11,S
147.0,99,1.6667,0.6667,a,A. I,12,A
150.0,101,1.6667,0.6667,a,Tr. I,0,Tpt
156.0,105,1.6667,0.6667,a,T. I,13,T
159.0,107,1.6667,0.6667,a,T. II,17,T
162.0,109,1.6667,0.6667,a,Tr. II,1,Tpt
168.0,113,1.6667,0.6667,a,S. I,11,S
169.5,114,1.6667,0.6667,a,S. II,15,S
171.0,115,1.6667,0.6667,a,Tr. I,0,Tpt
174.0,117,1.6667,0.6667,a,Fl. trv. I,4,Fl
180.0,121,1.6667,0.6667,a,Tr. I,0,Tpt
182.5,123,1.3333,0.3333,a,Tr. II,1,Tpt
185.5,125,1.3333,0.3333,a,Tr. I,0,Tpt
192.0,129,1.6667,0.6667,a,Fl. trv. I,4,Fl
199.0,134,1.3333,0.3333,a,Fl. trv. I,4,Fl
202.0,136,1.3333,0.3333,a,Fl. trv. I,4,Fl
208.0,140,1.3333,0.3333,a,Fl. trv. I,4,Fl
209.75,141,1.5,0.5,a,Ob. II,7,Ob
210.75,142,1.1667,0.1667,a,Fl. trv. I,4,Fl
216.0,145,1.6667,0.6667,a,Tr. I,0,Tpt
