qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,G Horn 1,G Horn  2,C Horn 3,C Horn 4,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,G2,r
0.5,0.3,1,1.5,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,D3,r
1.0,0.6,1,2.0,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,G3,r
1.5,0.9,1,2.5,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,D4,r
2.0,1.2,1,3.0,r,r,C5,r,G4,E4,C4,G3,r,r,r,r,r,r,r,E4,r
2.5,1.5,1,3.5,r,r,C5,r,G4,E4,C4,G3,r,r,r,r,r,r,r,C4,r
3.0,1.8,2,1.0,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,G2,r
3.5,2.1,2,1.5,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,D3,r
4.0,2.4,2,2.0,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,G3,r
4.5,2.7,2,2.5,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,D4,r
5.0,3.0,2,3.0,r,r,E5,r,A4,F#4,C4,G3,r,r,r,r,r,r,r,C4,r
5.5,3.3,2,3.5,r,r,E5,r,A4,F#4,C4,G3,r,r,r,r,r,r,r,A3,r
6.0,3.6,3,1.0,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,G2,r
6.5,3.9,3,1.5,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,D3,r
7.0,4.2,3,2.0,r,r,B4,r,B4,G4,D4,G3,r,r,r,r,r,r,r,G3,r
7.5,4.5,3,2.5,r,r,D5,r,B4,G4,D4,G3,r,r,r,r,r,r,r,B3,r
8.0,4.8,3,3.0,r,r,C5,r,F#4,D4,D4,G3,r,r,r,r,r,r,r,A3,r
8.5,5.1,3,3.5,r,r,A4,r,F#4,D4,C4,G3,r,r,r,r,r,r,r,D3,r
9.0,5.4,4,1.0,r,r,B4,r,G4,D4,B3,G3,r,r,r,r,r,r,r,G2,r
9.5,5.7,4,1.5,r,r,B4,r,G4,D4,B3,G3,r,r,r,r,r,r,r,D3,r
10.0,6.0,4,2.0,r,r,B4,r,G4,D4,B3,G3,r,r,r,r,r,r,r,G3,r
10.5,6.3,4,2.5,r,r,B4,r,G4,D4,B3,G3,r,r,r,r,r,r,r,D4,r
11.0,6.6,4,3.0,r,r,C5,r,G4,E4,G3,G3,r,r,r,r,r,r,r,G4,r
11.3333,6.8,4,3.3333,r,r,B4,r,F#4,D4,G3,G3,r,r,r,r,r,r,r,G4,r
11.6667,7.0,4,3.6667,r,r,A4,r,E4,C4,G3,G3,r,r,r,r,r,r,r,r,r
12.0,7.2,5,1.0,r,r,G4,r,D4,B3,G3,G3,r,r,r,r,r,r,r,r,r
12.5,7.5,5,1.5,r,r,G4,r,D4,B3,G3,G3,r,r,r,r,r,r,r,G2,r
13.0,7.8,5,2.0,r,r,E4,r,D4,G3,G3,G3,r,r,r,r,r,r,r,C3,r
13.5,8.1,5,2.5,r,r,E4,r,D4,G3,G3,G3,r,r,r,r,r,r,r,B2,r
14.0,8.4,5,3.0,r,r,F#4,r,C4,C4,G3,G3,r,r,r,r,r,r,r,A2,r
14.5,8.7,5,3.5,r,r,F#4,r,C4,C4,G3,G3,r,r,r,r,r,r,r,D3,r
15.0,9.0,6,1.0,r,r,D4,r,C4,A3,G3,G3,r,r,r,r,r,r,r,G2,r
15.5,9.3,6,1.5,r,r,D4,r,C4,A3,G3,G3,r,r,r,r,r,r,r,D3,r
16.0,9.6,6,2.0,r,r,G4,r,B3,G3,G3,G3,r,r,r,r,r,r,r,G3,r
16.5,9.9,6,2.5,r,r,G4,r,B3,G3,G3,G3,r,r,r,r,r,r,r,D4,r
17.0,10.2,6,3.0,r,r,C5,r,G4,E4,G3,G3,r,r,r,r,r,r,r,G4,r
17.3333,10.4,6,3.3333,r,r,B4,r,F#4,D4,G3,G3,r,r,r,r,r,r,r,G4,r
