qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,A Clarinet 1,A Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,E Horn 1,E Horn 2,C Horn 3,C Horn 4,E Trumpet 1,E Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
0.0,0.0,1,1.0,E5,E5,E5,A4,A4,E4,C4,C3,C3,A4,E4,E4,C4,r,r,E4,C4,C4,r,r,r,r,r,r
3.0,1.5,2,1.0,F#5,F#5,F#5,C5,C5,F#4,A3,A2,A2,F#4,F#4,C4,A3,r,r,F#4,C4,A3,r,r,r,r,r,r
6.0,3.0,3,1.0,G5,G5,G5,B4,B4,G4,E3,E2,E2,G4,B3,E4,E3,r,r,G4,B3,E3,r,r,r,r,r,r
9.0,4.5,4,1.0,A5,A5,A5,E5,A4,E4,C3,C3,C2,A4,E4,C4,C3,r,r,A4,E4,C3,r,r,r,r,r,r
12.0,6.0,5,1.0,B-5,B-5,B-5,C#5,B-4,C#4,F#3,F#2,F#1,E4,E3,C#4,B-3,E5,E4,B-4,C#4,F#2,E3,r,r,r,r,r
15.0,7.5,6,1.0,B5,B5,B5,B4,B4,B3,G3,G2,G1,E4,E3,B3,B3,E5,E4,B4,B3,G2,E3,r,r,r,r,r
18.0,9.0,7,1.0,B4,B4,B4,A4,A4,E-4,F3,F2,F1,B3,B2,r,r,B4,B3,E-4,A3,F2,B2,r,r,r,r,r
21.0,10.5,8,1.0,E5,E5,B4,G#4,G#4,B3,E3,E2,E1,E4,E3,r,r,E5,E4,E4,G#3,E2,E3,r,r,r,r,r
24.0,12.0,9,1.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,r,r,r,E3,r,r,r,r,r
25.0,12.5,9,2.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,A3,E3,C3,E3,E4,E4,E4,A3,C2
27.0,13.5,10,1.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,r,r,r,E3,r,r,r,r,r
28.0,14.0,10,2.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,C4,F#3,A2,E3,F#4,E4,F#4,A3,A1
30.0,15.0,11,1.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,r,r,r,E3,r,r,r,r,r
31.0,15.5,11,2.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,B3,G3,E2,E3,G4,G4,E4,G3,C2
33.0,16.5,12,1.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,r,r,r,E3,r,r,r,r,r
34.0,17.0,12,2.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,E3,E3,C3,E3,A4,E4,E4,A3,C2
36.0,18.0,13,1.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,r,r,r,E3,r,r,r,r,r
37.0,18.5,13,2.0,r,r,r,r,r,r,r,r,r,E3,E2,E3,E3,r,r,r,r,r,E3,B-4,E4,C#4,B-3,F#1
39.0,19.5,14,1.0,r,r,r,r,r,r,r,r,r,E3,E2,r,r,r,r,r,r,r,E3,r,r,r,r,r
40.0,20.0,14,2.0,r,r,r,r,r,r,r,r,r,E3,E2,r,r,r,r,r,r,r,E3,B4,E4,B3,B3,G1
42.0,21.0,15,1.0,r,r,r,r,r,r,r,r,r,B3,B2,r,r,r,r,r,r,r,B2,r,r,r,r,r
43.0,21.5,15,2.0,r,r,r,r,r,r,r,r,r,B3,B2,r,r,r,r,r,r,r,B2,B3,A3,B3,B2,F1
